,map_id,team1_id,team2_id,map_name,who_win,team_avg_total_kills_x,team_avg_headshots_x,team_avg_total_deaths_x,team_avg_kd_ratio_x,team_avg_damage_per_round_x,team_avg_grenade_damage_per_round_x,team_avg_maps_played_x,team_avg_rounds_played_x,team_avg_kills_per_round_x,team_avg_assists_per_round_x,team_avg_deaths_per_round_x,team_avg_saved_by_teammates_per_round_x,team_avg_saved_teammates_per_round_x,team_avg_rating_x,team_avg_kill_death_x,team_avg_kill_round_x,team_avg_rounds_with_kills_x,team_avg_kill_death_difference_x,team_avg_total_opening_kills_x,team_avg_total_opening_deaths_x,team_avg_opening_kill_ratio_x,team_avg_opening_kill_rating_x,team_avg_team_win_percent_after_first_kill_x,team_avg_first_kill_in_won_rounds_x,team_avg_total_kills_y,team_avg_headshots_y,team_avg_total_deaths_y,team_avg_kd_ratio_y,team_avg_damage_per_round_y,team_avg_grenade_damage_per_round_y,team_avg_maps_played_y,team_avg_rounds_played_y,team_avg_kills_per_round_y,team_avg_assists_per_round_y,team_avg_deaths_per_round_y,team_avg_saved_by_teammates_per_round_y,team_avg_saved_teammates_per_round_y,team_avg_rating_y,team_avg_kill_death_y,team_avg_kill_round_y,team_avg_rounds_with_kills_y,team_avg_kill_death_difference_y,team_avg_total_opening_kills_y,team_avg_total_opening_deaths_y,team_avg_opening_kill_ratio_y,team_avg_opening_kill_rating_y,team_avg_team_win_percent_after_first_kill_y,team_avg_first_kill_in_won_rounds_y
0,289,6665,7718,0,0,269.6,39.8,256.0,1.076,75.82000000000001,5.720000000000001,14.8,396.0,0.6900000000000001,0.138,0.6419999999999999,0.088,0.088,1.0859999999999999,1.076,0.6900000000000001,179.6,13.6,41.6,40.4,1.062,1.01,74.78,14.179999999999998,116.6,45.06,123.0,0.966,70.5,4.38,7.0,183.0,0.6380000000000001,0.122,0.674,0.06799999999999999,0.068,0.982,0.966,0.6380000000000001,78.0,-6.4,18.4,18.2,1.176,1.002,64.48,14.280000000000001
1,715,4411,10577,1,0,246.8,45.12,264.2,0.9360000000000002,71.58,8.1,15.2,398.4,0.6199999999999999,0.14400000000000002,0.662,0.10400000000000001,0.10200000000000001,1.016,0.9360000000000002,0.6199999999999999,168.4,-17.4,45.8,45.2,1.098,1.058,71.1,16.3,538.6,48.160000000000004,486.4,1.1280000000000001,73.74000000000001,6.540000000000001,30.4,793.4,0.682,0.11800000000000002,0.61,0.096,0.092,1.122,1.1119999999999999,0.682,245.0,26.2,59.8,50.6,1.388,1.0879999999999999,73.0,15.440000000000001
2,157,11251,9455,2,1,405.8,47.220000000000006,358.4,1.134,76.67999999999999,4.42,21.0,568.4,0.712,0.11599999999999999,0.63,0.08,0.082,1.1199999999999999,1.044,0.676,179.6,11.0,43.8,33.6,1.2099999999999997,1.08,74.3,16.1,229.6,37.879999999999995,211.8,1.084,74.82,4.720000000000001,13.0,337.0,0.6839999999999999,0.14400000000000002,0.6300000000000001,0.08199999999999999,0.08600000000000001,1.09,0.986,0.648,109.6,-2.2,26.0,22.4,1.296,1.05,64.58000000000001,15.080000000000002
3,524,4608,7532,3,0,350.8,47.66,306.4,1.142,75.14000000000001,3.8,17.4,507.4,0.6880000000000001,0.11200000000000002,0.604,0.07,0.07400000000000001,1.116,1.15,0.6880000000000001,218.0,44.8,51.6,37.2,1.3439999999999999,1.0539999999999998,74.17999999999999,14.040000000000001,302.0,46.44,294.2,1.018,72.72,4.5200000000000005,15.2,448.2,0.6619999999999999,0.11000000000000001,0.65,0.08,0.08399999999999999,1.0259999999999998,1.0239999999999998,0.662,191.2,8.8,40.6,41.4,0.96,0.974,70.8,13.540000000000001
4,404,8637,6667,4,1,253.6,44.879999999999995,242.0,1.054,74.3,3.44,13.4,372.2,0.688,0.126,0.654,0.092,0.09,1.076,1.0100000000000002,0.67,107.4,-1.4,22.4,20.8,1.144,1.02,75.76,14.5,171.8,49.64,158.0,1.106,76.8,3.62,9.0,243.4,0.708,0.11599999999999999,0.6439999999999999,0.096,0.092,1.1019999999999999,1.064,0.6900000000000001,100.4,8.0,21.6,23.6,1.1800000000000002,0.992,78.36000000000001,14.959999999999999
5,474,4869,5752,3,1,405.6,43.08,392.2,1.008,73.94000000000001,4.279999999999999,23.2,594.0,0.674,0.11400000000000002,0.6759999999999999,0.07,0.066,1.034,1.026,0.6900000000000001,275.6,15.6,60.4,54.8,1.01,0.952,79.61999999999999,13.459999999999999,189.6,47.3,165.6,1.16,73.56,4.180000000000001,11.4,279.4,0.6739999999999999,0.10200000000000001,0.5900000000000001,0.062,0.06,1.116,1.182,0.6839999999999999,128.6,25.8,29.8,24.4,1.422,1.068,77.53999999999999,14.7
6,84,5005,11588,4,0,268.6,45.739999999999995,246.4,1.0699999999999998,72.11999999999999,2.62,15.4,390.0,0.6679999999999999,0.11600000000000002,0.6439999999999999,0.11000000000000001,0.098,1.0699999999999998,0.8880000000000001,0.6039999999999999,90.2,-15.8,19.2,22.6,1.034,0.9620000000000001,69.04,12.88,19.2,41.160000000000004,16.6,1.262,73.82000000000001,2.24,1.0,28.0,0.686,0.1,0.592,0.044,0.046,1.1540000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,208,6667,5752,1,1,351.6,48.32,322.6,1.112,73.6,6.7,18.8,526.4,0.6679999999999999,0.126,0.61,0.1,0.096,1.098,1.112,0.6679999999999999,238.8,29.0,54.8,49.4,1.294,1.032,69.7,13.379999999999999,253.0,44.0,241.8,1.0639999999999998,71.02000000000001,6.8,14.4,391.6,0.646,0.124,0.616,0.088,0.09,1.058,1.056,0.6399999999999999,165.6,8.4,38.0,37.8,1.1019999999999999,1.0,75.93999999999998,15.080000000000002
8,626,6665,11654,0,0,208.4,40.18,203.2,1.034,74.88,5.540000000000001,11.2,307.0,0.6779999999999999,0.134,0.6559999999999999,0.088,0.092,1.058,1.034,0.6779999999999999,140.2,5.2,31.8,32.2,1.112,1.004,74.14000000000001,14.580000000000002,247.8,47.4,217.2,1.142,76.17999999999999,5.119999999999999,11.0,352.0,0.704,0.10800000000000001,0.616,0.078,0.08,1.116,1.1,0.6880000000000001,55.6,7.6,12.4,12.2,1.0959999999999999,1.0059999999999998,76.30000000000001,14.02
9,692,6665,4411,2,0,297.2,43.9,294.6,1.026,73.38,3.8,16.8,438.6,0.672,0.128,0.6559999999999999,0.082,0.09000000000000001,1.0459999999999998,1.026,0.672,202.4,2.6,45.4,44.6,1.074,1.004,72.73999999999998,14.780000000000001,270.8,42.379999999999995,278.0,0.9780000000000001,73.88,3.12,16.0,412.0,0.66,0.11400000000000002,0.6759999999999999,0.07200000000000001,0.088,1.0160000000000002,0.9620000000000001,0.6540000000000001,172.4,-11.6,40.6,44.2,0.9179999999999999,1.0,72.55999999999999,15.240000000000004
